Nombre Peaje,Latitud,Longitud,Operador,Tipo Operador,Ubicacion,Sector,Tarifa Categoria I,Tarifa Categoria II,Tarifa Categoria III,Territorial,Telefono Peaje,Telefono Grua,Ficha Oficial INVIAS
EL PLACER 2,1.08728410200007,-77.408655204,Concesionaria Víal Uníon del Sur,Concesión,A un Kilometro del Municipio de Tangua Km. 56+050,Puente Internacional Rumichaca - San Juan de Pasto,$12.300,$15.000,$29.500,17,3173682092 – 3173310921,Móvil1: 3174275839 - atiende los municipios Ipiales - Contadero e Iles Móvil 2: 3174042366 - atiende a los Municipios de Imués - Yacuanquer - Tangua y Pasto,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
GAMBOTE,10.136159,-75.264267,Ruta Caribe,Concesión,Km 61+400 Ruta 9005 Troncal de Occidente,Cruz del Viso - Cartagena,$11.200,$12.400,$27.500,3,3212057230,3212057227,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
TUCUNICA,10.608983,-74.168495,Concesión (Yuma),Concesión,KM 50 Rio Ariguani – Ye de Cienaga,Paso Nacional por Aracataca - Ye de Ciénaga,$10.900,$11.900,$27.800,15,3176486588,018000945566 Opción 1,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PUBENZA,4.40331639000004,-74.7314643409999,CONCESIÓN DEVISAB,Concesión,Vía Chía – La Mesa – Girardot Km 16 Jurisdicción del Municipio de Tocaima,Girardot - Tocaima,$8.500,$9.600,$10.900,12,#815 Tigo - 018000953550,#815 Tigo - 018000953550,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LA TEBAIDA,4.74462434300005,-74.171477243,CONCESIÓN DEVISAB,Concesión,Kilómetro 8 Vía Mosquera - Chía Jurisdicción del Municipio de Funza,Funza - Cota,$11.200,$13.500,$13.500,12,*815 - 018000953550,*815 - 018000953550,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
BOQUERÓN I,4.45259900000002,-74.0733949999999,COVIANDINA S.A.S.,Concesión,Tramo que cubre:Vía Rincón Hondo - Agustín Codazzi,San Roque - La Paz,$16.500,$48.500,$24.500,12,3123063223 - 3123030336 – 3105851322,3123060332 - 3105851322 -3105851325 y #713,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LA HEROICA,10.342343514,-75.490621142,CONVIAL,Concesión,Variante Mamonal - Gambote,Variante Mamonal - Gambote,$2.900,$4.600,$8.200,3,(57) (5)6609002 - 6607822 - 6609125,(57) (5)6609002 - 6607822 - 6609125,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
MARAHUACO,10.574535,-75.4505589999999,Concesión Costera - Barranquilla - Cartagena,Concesión,Km 16 Vía Cartagena - Barranquilla,Cartagena - Lomita Arena,$18.400,$27.600,$20.200,3,3124572713 - 3157210245 Ó # 212 Movistar / 3106303666 Ó # 211 Claro / 3004510014 Ó # 211 Tigo,018000977330 - 3114803629,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LA ESTRELLA,5.12551851000006,-75.505280332,No definido,Por definir,,Manizales - Neira,$6.100,$7.100,,5,,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PAJARITO,6.33180205000002,-75.599368636,No definido,Por definir,,Medellín - San Pedro,$6.000,$6.800,,1,,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
JALISCO,4.90135570300004,-74.426167866,CONCESIÓN PANAMERICANA,Concesión,Peaje Río Bogotá – Facatativá – Villeta – Vianí – Cambao Km 89+400 Jurisdicción del Municipio de Albán,Sasaima - Albán,$12.400,$16.800,$14.100,12,3102576509 // 31*288,3102576509,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
TARAPACÁ II,4.95009900000002,-75.618682,CONCESIÓN AUTOPISTAS DEL CAFE,Concesión,Vía Pereira – Chinchiná PR29RSC Km 24 + 100,Intersección Jazmín - Estación de Servicio Chinchiná,$16.100,$21.300,$21.300,21,(6) 3282720,3138176567 #850,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LOS SANTOS,6.91737791400004,-73.034207319,Concesión CONSTRUVICOL S.A,Concesión,,Piedecuesta - Los Santos,,,,22,037 656 8002 - 316 6058384,037 646 9396 - 320 8003657,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
URIBIA,11.606513783,-72.321876241,No definido,Por definir,,Cuatrovias - Uribia,,,,13,,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
SAN MIGUEL,4.44416465900002,-74.301889391,No definido,Por definir,,Fusagasugá - Sibaté,$7.900,$9.800,$26.100,12,,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
NUEVO SALTO,4.58154202000003,-74.2986611859999,Concesión Troncal del Tequendama.,Concesión,Kilómetro 1.4 Vía Chusacá – El Triunfo – Viotá – El Portillo en la Vereda Charquito (Soacha),El Colegio - El Charquito,$11.700,$14.200,$14.300,12,3114810850,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
SAN PEDRO (La Mesa - Anapoima),4.58098863300006,-74.476174487,CONCESIÓN DEVISAB,Concesión,Chía - La Mesa - Girardot Km.61 Jurisdicción del Municipio de la Mesa,La Mesa - Anapoima,$10.500,$11.700,$13.500,12,#815 Tigo 018000953550,#815 Tigo 018000953550,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
MONDOÑEDO,4.63824152500007,-74.2939825239999,CONCESIÓN DEVISAB,Concesión,Vía Chía – La Mesa – Girardot Km 105 Jurisdicción del Municipio de Bojacá,La Mesa - Mosquera,$11.200,$13.500,$13.500,12,#815 Tigo - 018000953550,#815 Tigo - 018000953550,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
RAMAL,4.62716543300007,-74.289809132,CONCESIÓN DEVISAB,Concesión,kilómetro 106 Via Mosquera - Ramal a Soacha,Variante Soacha - La Mesa,$11.200,$13.500,$13.500,12,#815 Tigo – 018000953550,#815 Tigo – 018000953550,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PIPIRAL,4.20004800000004,-73.72142,COVIANDINA S.A.S.,Concesión,Vía Villavicencio – Puente Susumuco Km 78+020,Bogotá (El Portal) - Villavicencio,$23.000,$45.100,$30.900,16,3214698772 - 3105851322,3123060332 - 3105851322 -3105851325 y #713,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
TURBACO,10.3569754530001,-75.4434161349999,Ruta Caribe,Concesión,Km 60+00 y 68+00 Ruta 9005 Troncal de Occidente,Cruz del Viso - Cartagena,$5.100,$11.500,$14.100,3,3212057230,3212057227,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
BAZURTO (MANGA),10.4067850500001,-75.526546588,CONVIAL,Concesión,Vía Puente Nacional – San Gil Km 62+950,Puente Nacional - San Gil,$2.300,$4.100,,3,(57)(5)6609002 - 6607822 - 6609125,(57) (5)6609002 - 6607822 - 6609125,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CEBALLOS,10.383016105,-75.5059221819999,CONVIAL,Concesión,,La Línea - Cajamarca,$2.500,$4.100,,3,(57) (5)6609002 - 6607822 - 6609125,(57) (5)6609002 - 6607822 - 6609125,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
SANTA ELENA,6.17965929600007,-75.4613569959999,Concesión Túnel Aburrá - Oriente S.A,Concesión,Km 21+500 - Vía Medellín - Ríonegro,Vía Antigua a Rionegro,$10.000,$12.100,$22.100,1,(4) 4446178 - 2228085 - 4602225,(4) 4446178 - 2228085 - 4602225,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
VARIANTE LAS PALMAS,6.17065388700007,-75.478890798,Concesión Túnel Aburrá-Oriente,Concesión,,Las Palmas - Aeropuerto,,,,1,,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CABILDO,6.39579700000007,-75.423661,No definido,Por definir,Vía Ubate Puente Nacional Km 66+200 Jurisdicción Saboyá,Ubaté - Puente Nacional,$16.700,$18.400,$19.500,1,2892224 - 3108992859,01-8000-522-44-77,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
ABURRA,6.29319200000003,-75.651083,DESARROLLO VIAL AL MAR SAS,Concesión,Oriente Occidente Km 39+600 Occidente Oriente Km 44+800 - vía Santa Fe de Antioquia Medellín,Puente Aurrá - Medellín,$20.600,$23.200,$50.400,1,(1) 2863300,3176676335 018000400016,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CASETABLA,4.11271500000004,-72.8350139999999,Concesión Autopistas de los Llanos,Concesión,,Armenia - La Línea,$6.900,$7.400,$8.200,16,3102466017,018000918624 Operadores Claro – Movistar #765,http://hermes.invias.gov.co/carreteras/images/peajes/casetabla.jpg
SABANAGRANDE,10.799603,-74.759003,Consorcio Ruta Caribe,Concesión,Vía Oriental Km 55,Palmar de Varela - Barranquilla,$11.900,$12.800,$28.000,2,3006738048,3212057227,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
FUSCA,4.83535800000004,-74.0289309999999,CONCESIÓN ACCENORTE,Concesión,Bogotá – Albarracín Km 4,Bogotá - Ubaté,$11.100,$19.200,$12.500,12,6760652 Opc 1 - 3125194023 – 3125196546,676 06 52,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
TARAPACÁ I,4.93954600000006,-75.6164449999999,CONCESIÓN AUTOPISTAS DEL CAFE,Concesión,Vía Pereira – Manizales Km. 20 + 200,La Romelia - Río Campo Alegre,$16.100,$21.300,$21.300,21,(6) 3282720,3138176567 #850,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
SAN BERNARDO (TRINIDAD ll),5.05220000000003,-75.594574,CONCESIÓN AUTOPISTAS DEL CAFE,Concesión,Tres Puertas – Puente La Libertad Km. 9 + 200,Tres Puertas -La Manuela - Estación Uribe,$14.600,$17.500,$17.500,5,(6) 3282720,3138176567 #850,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CAIQUEROS,5.06536600000004,-74.4141079999999,CONCESIÓN SABANA DE OCCIDENTE,Concesión,Vía Cauyá - El Palo,Cauyá - La Felisa,$12.800,$16.600,$40.800,12,5939260 ---------3185577768---------- 3102613190----------- 3002149460,5939260,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LAS FLORES,9.31889100000006,-75.320053,INVIAS,INVIAS,Sincelejo-Puerta de Hierro-Calamar,Sincelejo - Corozal,$6.100,$15.600,$24.200,23,3124964386,3184095455 – 3182406622,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CIRCASIA,4.69838800000002,-75.606148,CONCESIÓN AUTOPISTAS DEL CAFE,Concesión,Vía Armenia - Pereira Km. 16+750,Armenia-Pereira,$19.200,$24.400,$24.400,20,(6) 3282720 3138176567 #850,602 22 33,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
NEGUANJE,11.2530630000001,-74.109322,Concesión Santa Marta Paraguachón S.A,Concesión,Ubicación: 6+500 Tramo que cubre: Puente Nenguange – Palomino,Santa Marta - Río Palomino,$12.300,$19.000,$15.300,15,3138891473 - (5) 7288542/43,(5) 728 85 43,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
UNISABANA,4.85540300000002,-74.031464,CONCESIÓN ACCENORTE,Concesión,Bogotá – Albarracín Km 5+600,Bogotá - Ubaté,,,,12,6760652 Opc 1 - 3125194023 – 3125196546,676 06 52,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
YUCAO,4.35131700000005,-72.169253,Concesión Autopistas de los Llanos,Concesión,Vía Puerto López - Puerto Gaitán Km.99+200,Puerto López - Puerto Gaitán,$6.900,$7.400,$8.200,16,3102466052,018000918624 Operadores Claro - Movistar #765,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
GUARNE,6.32795500000003,-75.5155329999999,Concesión Devimed,Concesión,Km 7 Autopista Medellín - Bogotá,Medellín - Santuario,$16.800,$28.900,$23.200,1,018000518427 - 408-08-42 - 3860085,#618 - 018000518427 - (4) 3860085,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LOS CAUCHOS,2.78557800000004,-75.301956,Concesión Rodovias Colombia S.A.S,Concesión,Vía Garzon – Neiva Km 98+499 Jurisdicción Municipio de Rivera,Garzón - Neiva,$9.200,$10.000,$21.300,14,320 995 5541,311 260 50 25 - #296,http://hermes.invias.gov.co/carreteras/images/peajes/los_cauchos.jpg
PRIMAVERA,5.96879700000005,-75.594025,CONCESION LA PINTADA S.A.S. (ODINSA),Concesión,KM 38+800 RUTA 2509 - Via Medellin - La Pintada,La Pintada - Primavera,$10.500,$11.400,$24.200,1,3173673153,3185018100 - #272 Claro Movistar y Tigo,http://hermes.invias.gov.co/carreteras/images/peajes/primavera.jpg
PAPIROS,11.0127000000001,-74.8895879999999,Concesión Costera - Barranquilla - Cartagena,Concesión,Vía al mar Km 101,Cartagena - Lomita Arena,$3.000,$3.000,$9.300,2,3173317167,018000977330 - 3114803629,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
NEIVA,2.97780200000005,-75.307259,Concesión Autovía Neiva – Girardot,Concesión,Vía Neiva – Castilla Km 3+700 Jurisdicción Municipio de Neiva,Neiva - Natagaima,$15.700,$19.400,$23.900,14,3153340727 – 3174340907 - 3502621485,667 10 30,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
OCOA,4.02625900000004,-73.7751919999999,Concesión Autopistas de los Llanos,Concesión,Vía Villavicencio – Granada Km 54+450,Ye de Granada - Paso por el Puente sobre el Río Ocoa,$13.100,$25.300,$19.200,16,(8) 6700868 – 3138860370 - 018000918624 - #76,(578) 668 49 90-91,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
EL KORÁN,5.49713170400003,-74.613729591,INVIAS,INVIAS,Bogotá – Medellín - Norte,El Korán - Guaduas,$18.900,$26.400,$37.100,12,(1) 5188489,3185166166 / 018000914181,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LOS PATIOS,4.66337400000003,-74.0105799999999,INVIAS – VIPSA,INVIAS,La Calera – Briceño Km 0+050,Bogotá (Los Patios) - Guasca,$12.300,$19.200,$29.600,12,3118179035,3102399451 - 3162340275 - #762 y 018000181762,http://hermes.invias.gov.co/carreteras/images/peajes/patios.jpg
LA CABAÑA,4.80945400000007,-73.945587,PERIMETRAL ORIENTAL DE BOGOTÁ S.A.S,Concesión,La Calera – Briceño Km 21+800,Bogotá (Los Patios) - Guasca,$12.300,$19.200,$29.600,12,3112178121,3102399451 - 3162340275 - #762 y 018000181762,http://hermes.invias.gov.co/carreteras/images/peajes/la_cabana.jpg
EL CARMEN,9.68215500000002,-75.124916,Autopista de la sabana,Concesión,Km 70+500 Troncal de Occidente Ruta 2515 Vía Sincelejo – Calamar,Puerta de Hierro - Carreto,$11.100,$12.300,$25.400,3,3162954845,3162954845 - #270 Claro,http://hermes.invias.gov.co/carreteras/images/peajes/el_carmen.jpg
ACAPULCO,4.99906200000004,-75.858871,CONCESION PACÍFICO TRES S.A.S (ODINSA),Concesión,Vía Y de Cerritos - Cauyá PR2507 Km 24,La Virginia - Remolinos,$14.600,$17.900,$17.900,21,3219738470,018000423780 – 3219738470,http://hermes.invias.gov.co/carreteras/images/peajes/acapulco.jpg
EL EBANAL,11.276194,-73.122124,Concesión Santa Marta Paraguachón S.A,Concesión,Ubicación: 53+950 Tramo que cubre:Vía Riohacha - Palomino,Río Palomino - Riohacha,$12.300,$19.000,$15.300,13,3143300807 - (5) 7288542 /43,(5) 728 85 43,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
FLANDES,4.19209900000004,-74.8611529999999,Concesión Autovía Neiva – Girardot,Concesión,Km. 4 Vía Espinal - Girardot,El Espinal - Girardot,$15.700,$19.400,$23.900,24,3153340727 – 3174340907 - 3502621485,667 10 30,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LAUREANO GÓMEZ,10.978719174,-74.729718979,Concesión (Barranquilla -Ciénaga),Concesión,KM 3+300 Vía Barranquilla – Santa Marta,Barranquilla - Santa Marta,$10.100,$1.200,$28.100,15,3106328761,3106303030 - 3106328761,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
VERACRUZ,4.26108800000003,-73.448189,Concesión Vial del Oriente - COVIORIENTE S.A.S,Concesión,Vía Cumaral – Paratebueno Km 29+555,Cumaral - Barranca de Upía,$8.600,$17.200,$11.100,16,3168341260,3178942293 - 018000180818,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
TASAJERA,10.9771881520001,-74.3366643319999,Concesión (Barranquilla -Ciénaga),Concesión,KM 50 Vía Barranquilla – Santa Marta,Barranquilla - Santa Marta,$10.100,$12.000,$28.100,15,3106328761,3106303030 - 3106328761,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
COROZAL,4.40792900000002,-75.899872,CONCESIÓN AUTOPISTAS DEL CAFE,Concesión,Vía La Paila - Armenia Km 23,La Paila - Club Campestre,$14.600,$17.500,$17.500,25,(6) 3282720,3138176567 #850,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PANDEQUESO,6.47799800000007,-75.37861,CONCESION ANI,Concesión,KM 38+700 RUTA 2510 - vía Medellín – La costa,Medellìn - Hoyo Rico,$14.600,$16.200,$16.200,1,094-8664105 - 3108992850,094-4012277 - 018000524477,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CEDROS,8.81977500000005,-75.998909,Concesión Ruta al Mar,Concesión,Via Puerto Rey – Montería Km 47 Recorrido 67 KMS,Puerto Rey - Monteria,$16.100,$23.700,$23.700,11,3116346193 - 3116346192,094 - 7911207,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
EL DIFÍCIL,9.83116600000005,-74.267754,Concesión (Yuma),Concesión,KM 67+300 Plato – Pueblo Nuevo,Plato – Pueblo Nuevo,$11.700,$14.600,$30.500,15,3165298176,018000945566 Opción 1,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
EL ROBLE,5.03128500000003,-73.839882,Concesión Briceño - Tunja - Sogamoso,Concesión,Bogotá – Albarracín Km 36,Bogotá - Chocontá,$10.300,$11.400,$29.300,12,3203409278,3174422284 // 3174341120 // 3174341030 // 3164086968,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
AMAGÁ,6.04694900000004,-75.6598739999999,Concesión Vial del Pacífico,Concesión,KM 03+100 RUTA 6005 Via Santuario - Puerto Triunfo,El Santuario - Cruce Ruta 45 (Caño Alegre),$10.500,$11.400,$24.200,1,3207103032,3207103032,http://hermes.invias.gov.co/carreteras/images/peajes/amaga.jpg
SAN ONOFRE,9.87253100000004,-75.393358,Concesión Ruta al Mar,Concesión,Vía San Onofre – Cruz del Viso Km 21+400 metros,San Onofre - María La Baja,$16.100,$23.700,$23.700,23,3104320955,3216177100,http://hermes.invias.gov.co/carreteras/images/peajes/san_onofre.jpg
LA ESPERANZA,9.43074200000007,-75.435951,INVIAS,INVIAS,Toluviego - Sincelejo,Sincelejo - Toluviejo,$10.900,$11.800,$25.300,23,3124964386,3184095455 – 3182406622,http://hermes.invias.gov.co/carreteras/images/peajes/la_esperanza.jpg
ALTO PINO,11.4448736530001,-72.5423520589999,Concesión Santa Marta Paraguachón S.A,Concesión,Cogua – Tausa Km 40+000,Rioacha - Paraguachon,$12.300,$19.000,$15.300,13,314 3300807 - (5) 7288542 /43,(5) 728 85 43,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
ALTAMIRA,2.14288500000004,-75.700684,Concesión Rodovias Colombia S.A.S,Concesión,Vía Planeta Rica - Sincelejo Km 26 + 300,Planeta Rica - La Ye,$10.700,$12.000,$24.600,14,320 995 5541,311 260 50 25 - #296,http://hermes.invias.gov.co/carreteras/images/peajes/altamira.jpg
CHUSACÁ,4.53745200000003,-74.271805,Concesión Vía 40 Express,Concesión,Soacha – Girardot Km 109,Girardot - Silvania - Bogotá (Bosa),$13.300,$14.900,$31.500,12,3104224687 - 3117872339 - 3117903187,3104224687 - 3117872339 - 3117903187,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
GUALANDAY,4.30042600000007,-75.050087,Concesionaria San Rafael S.A.,Concesión,Km. 9+0600 de la ruta 4004 que corresponde a la vía Ibagué (Puente Blanco El Espinal (cruce ruta 45)) Espinal,Ibague (Puente Blanco) - Cruce Ruta 45 (Espinal),$12.700,$14.900,$35.000,24,3138863287,3212087489,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
TUTA,5.65691200000003,-73.2784349999999,Concesión Briceño - Tunja - Sogamoso,Concesión,Via Tunja – Paipa Km 12+200 Jurisdiccion Combita,Tunja - Duitama,$10.300,$11.400,$29.300,4,3174340959,3174422284,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
TRAPICHE,6.39963700000004,-75.433016,No definido,Por definir,Km 4 Vía alterna Girardota Hatillo,Medellìn - Hoyo Rico,$16.700,$18.400,$19.500,1,2892224 – 3108992859 - 01-8000-522-44-77,(054) 312 11 99-325 06 60,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PINTADA,5.81215600000007,-75.679156,Concesión Pacifico Tres S.A.S.,Concesión,KM 03 RUTA 25B01 Vía Pintada – Bolombolo,La Pintada - Peñalisa,$16.200,$18.900,$18.900,1,3173673153,3185018100 - #272 Claro Movistar y Tigo,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
MACHETÁ,5.07724900000005,-73.553398,CONCESIÓN DEL SISGA S.A.S.,Concesión,Vía Sisga – Guateque Km 27,Brisas - Guateque,$16.900,$20.500,$11.800,12,320 928 4913 - 321 964 0314,320 928 4913 - 321 964 0314,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
EL COPEY,10.060372,-73.923826,Yuma Concesionaria,Concesión,Km 10+300 Vía Bosconia – Rio Ariguani,Bosconia - Río Ariguaní,$10.100,$11.100,$25.800,9,3165280504,018000945566 Opción 1,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CORRALITO DE PIEDRA,10.3096587110001,-75.485086785,CONVIAL,Concesión,Variante Mamonal - Gambote,Vía a Barú,$7.900,$8.500,$18.100,3,(57) (5)6609002 - 6607822 - 6609125,(57) (5)6609002 - 6607822 - 6609125,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
GALAPA,10.8375330000001,-74.902122,Autopista del Sol,Concesión,Vía Cordialidad Km 98,Sabanalarga - Barranquilla,$11.900,$12.800,$27.300,2,3212057229,3212057229,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
BAYUNCA,10.546992,-75.365173,Autopistas del sol,Concesión,KM 03+450 RUTA 2511 - vía Medellin - La Costa,Los Llanos - Tarazá,$11.200,$12.400,$27.500,3,3212057236,3212057227,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PAILITAS,8.85280400000005,-73.669722,INVIAS,INVIAS,Km 28+500 Vía La Mata – San Roque,La Mata - San Roque,$12.300,$13.300,$27.300,9,3165280395,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3802.pdf
LA LOMA,9.63800300000003,-73.6394349999999,Concesión Yuma,Concesión,Km 42 Vía San Roque - Bosconia,San Roque - Bosconia,$10.400,$11.400,$24.700,9,3158210547,018000945566 Opción 1,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LA GÓMEZ,7.39717600000006,-73.546519,INVIAS,INVIAS,Vía La Lizama – San Alberto Km 37 + 300,Cruce Ruta 45 (La Fortuna) - Lebrija,$13.500,$17.000,$39.500,22,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3800.pdf
ARANGUANEY (NO OPERATIVO),5.41098872700007,-72.305021639,INVIAS,INVIAS,Via Sogamoso Yopal Km 8+900 Jurisdiccion Sogamoso,Sogamoso - El Crucero,,,,7,,,
VALENCIA,10.2597040000001,-73.430756,Yuma Concesionaria,Concesión,Km 87 Vía Pueblo Nuevo – Valledupar,Pueblo Nuevo – Bosconia – Valledupar,$10.400,$11.400,$24.700,9,3165280411,018000945566 Opción 1,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
