Nombre Peaje,Latitud,Longitud,Operador,Tipo Operador,Ubicacion,Sector,Tarifa Categoria I,Tarifa Categoria II,Tarifa Categoria III,Territorial,Telefono Peaje,Telefono Grua,Ficha Oficial INVIAS
CORREDOR PORTUARIO,10.957823864,-74.766759404,No definido,Por definir,,Calle 6,$6.400,$7.100,,2,,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PASACABALLOS,10.2445070000001,-75.445772,AUTOPISTAS DEL SOL S.A.,Concesión,Variante de Gambote,Variante de Gambote,$11.400,$12.200,$26.000,3,,321 205 72 27,
LOS GARZONES 2,8.82778300000007,-75.836761,INVIAS,INVIAS,Vía Monteria - Lorica Km. 1 más 320 metros,Montería - Cereté,$6.100,$15.600,$24.200,11,3124964386,3184095455 – 3182406622,
NARANJAL,4.27987200000007,-73.834808,COVIANDINA S.A.S.,Concesión,Caqueza – Guayabetal Km 44+700,Bogotá (El Portal) - Villavicencio,$14.100,$36.500,$27.500,12,3144360298 // 3123060332 - 3105851322,3123060332 - 3105851322 -3105851325 y #713,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
MORRISON,8.09234900000007,-73.560015,Concesión ruta el sol,Concesión,Km 28+500 Vía San Alberto – Aguaclara,San Alberto - La Mata,$12.300,$13.300,$27.300,26,3165280395,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3995.pdf
CHINAUTA,4.26937800000007,-74.500107,Concesión Vía 40 Express,Concesión,Soacha – Girardot Km 52,Girardot - Silvania - Bogotá (Bosa),$13.300,$14.900,$31.500,12,3104224687 - 3117872339 - 3117903187,3104224687 - 3117872339 - 3117903187,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LA URIBE,4.25246825100004,-76.118437533,PISA Proyectos de Infraestructura S.A.,Concesión,Vía Andalucía – Cerritos Km 12+300,Andalucía - La Paila -La Victoria,$8.400,$10.800,$25.300,25,3155602442,2238660 - 3155602442,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CAMBAO,4.94641200000007,-74.719094,Concesión Alto Magdalena,Concesión,VÍA BUCARAMANGA - SAN GIL,San Gil - Bucaramanga,$12.800,$17.800,$24.400,28,3219738507,3219738507,
LA NEVERA (NO OPERATIVO),5.52491058900006,-72.206138266,INVIAS,INVIAS,Paz de Ariporo - Yopal Km. 34+900,Paz de Ariporo - Yopal,,,,7,,,
ALVARADO,4.50760900000006,-74.991661,Concesionaria Alternativas Viales S.A.S,Concesión,Vía Andalucía – Y de Cerritos PR2506 Km 86,La Victoria - Cartago - Cerritos,$13.700,$14.600,$15.200,24,3506666383 - 3506666384 - 3506666385,350 666-6375 - 350666-6386,http://hermes.invias.gov.co/carreteras/images/peajes/alvarado.jpg
