"point","Nombre Peaje","Ubicación","Sector","Sentido","Poste de Referencia PR","Distancia PR","Telefono Grúa","Telefono Peaje","URL Foto","Categoria I","Categoria II","Categoria III","Categoria IV","Categoria V","Categoria VI","Categoria VII","Categoria VIII","Categoria IX","Categoria E","Categoria EAE","Categoria EC","Categoria EIE","Categoria IE","Categoria IEE","Categoria IEEE","Categoria IEX","Categoria IIA","Categoria IIE","Categoria IIIE","Categoria IVE","Categoria VE","Categoria VIE","Categoria VIIE","Administrador","Código Peaje","Código Tramo","Eje Adicional","Eje Adicional R","Eje Grua","Latitud","Longitud","Responsable","Territorial"
"POINT (-73.473552148 9.43103200100006)","RINCÓN HONDO","Tramo que cubre:Vía Rincón Hondo - Agustín Codazzi","San Roque - La Paz","Aplica en ambos sentidos de circulación","17","600","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3964.pdf","14,000","14,800","16,000","16,900","18,200","51,900","59,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","87","4901","0","0","0","9.431032","-73.47355215","INVIAS","9"
"POINT (-73.238637775 10.1217258250001)","SAN DIEGO","Tramo que cubre:Vía Aguztín Codazzi - San Diego","San Roque - La Paz","Aplica en ambos sentidos de circulación","105","250",,,"https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3889.pdf","7,000","7,600","8,200","8,800","18,100","21,900","58,900","0","0","0","0","0","0","5,000","0","0","0","0","0","0","0","0","0","0","1","88","4901","0","0","0","10.12172583","-73.23863778","INVIAS","9"
"POINT (-72.9755403249999 10.8000159330001)","SAN JUAN","Ubicación: 61+400Tramo que cubre:Vía La Paz – Distracción","Río Pereira - Buenavista","Aplica en ambos sentido de circulación","61","400","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3981.pdf","0","14,000","28,500","36,200","40,900","0","0","0","0","0","0","0","0","0","0","0","0","0","3,200","0","0","0","0","0","1","89","4902","9,900","9,700","7,300","10.80001593","-72.97554033","INVIAS","13"
"POINT (-75.570252 5.54052600000006)","SUPIA",,"Autopista Conexión Pacífico 3",,"81","510","Por Definir","Por Definir",,"10,500","11,400","24,200","30,800","34,700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",,"2508","0","0","0","0","0","Por Definir","28"
"POINT (-75.760278 5.10591700000003)","GUAICO",,,,"0","0","Por Definir","Por Definir",,"21,000","26,100","26,100","26,100","61,400","77,500","89,100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","150",,"0","0","0","5.10567543","5.10567543","Por Definir","28"
"POINT (-74.9144259999999 4.95835200000005)","ARMERO","Vía San Gil - Bucaramanga Km 53+730 Jurisdicción Municipio de Piedecuesta","San Gil - Bucaramanga",,"0","0","Por Definir","Por Definir",,"13,700","14,800","15,200","15,800","33,600","45,900","63,500","0","0","0","0","0","0","5,900","0","0","0","0","0","9,300","9,700","0","0","0","2","108","0","0","0","8,000","4.958352","4.958352","Por Definir","28"
"POINT (-75.657461 5.25773200000003)","IRRA",,,,"36","710","Por Definir","Por Definir",,"14,600","18,000","18,000","18,000","42,800","53,700","61,800","0","0","0","0","0","0","6,400","0","0","0","0","7,900","7,900","7,900","5,700","0","0","2","42","2903","0","0","0","5.257732","5.257732","Por Definir","28"
"POINT (-74.8370609899999 10.8821750000001)","GALAPA 02",,,,"11","720","Por Definir","Por Definir",,"8,300","12,300","9,000","15,400","47,600","63,300","70,200","0","0","0","0","0","0","3,300","0","0","0","0","5,300","0","0","0","0","0","2","36","25AT04","0","0","0","10.882175","10.882175","Por Definir","28"
"POINT (-75.2855 4.40574700000008)","COCORA",,,,"0","0","Por Definir","Por Definir",,"14,200","15,500","35,900","47,800","52,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","151",,"0","0","0","4.405747","4.405747","Por Definir","28"
"POINT (-73.717392 7.08351700000003)","LA LIZAMA","La Lizama","Barrancabermeja -  La Lizama ubicación km 4","Barrancabermeja -  La Lizama (Aplica en ambos sentidos)","4","0","3103910901 - (57) 685 4666","Por Definir",,"16,700","20,400","25,400","32,100","48,700","60,800","70,300","0","0","0","0","0","0","0","0","0","0","0","9,600","6,600","8,300","12,600","0","18,100","2","123","4513","0","0","0","7.08346789","7.08346789","Ruta del Cacao","22"
